"data","cidade","casos"
"2020-04-11","Três Rios",0
"2020-04-11","Valença",0
"2020-04-11","Volta Redonda",0
"2020-04-12","Angra dos Reis",1
"2020-04-12","Araruama",0
"2020-04-12","Arraial do Cabo",0
"2020-04-12","Barra Mansa",0
"2020-04-12","Barra do Piraí",3
"2020-04-12","Belford Roxo",17
"2020-04-12","Bom Jardim",0
"2020-04-12","Bom Jesus do Itabapoana",0
"2020-04-12","Cabo Frio",3
"2020-04-12","Cachoeiras de Macacu",1
"2020-04-12","Campos dos Goytacazes",0
"2020-04-12","Cantagalo",0
"2020-04-12","Casimiro de Abreu",1
"2020-04-12","Duque de Caxias",19
"2020-04-12","Guapimirim",0
"2020-04-12","Iguaba Grande",1
"2020-04-12","Itaboraí",4
"2020-04-12","Itaguaí",1
"2020-04-12","Itaperuna",0
"2020-04-12","Itatiaia",0
"2020-04-12","Japeri",0
"2020-04-12","Macaé",0
"2020-04-12","Magé",9
"2020-04-12","Mangaratiba",0
"2020-04-12","Maricá",3
"2020-04-12","Mesquita",7
"2020-04-12","Miguel Pereira",0
"2020-04-12","Nilópolis",6
"2020-04-12","Niterói",0
"2020-04-12","Nova Friburgo",2
"2020-04-12","Nova Iguaçu",15
"2020-04-12","Paracambi",0
"2020-04-12","Paraty",0
"2020-04-12","Paraíba do Sul",0
"2020-04-12","Paty do Alferes",0
"2020-04-12","Petrópolis",1
"2020-04-12","Piraí",1
"2020-04-12","Porciúncula",0
"2020-04-12","Porto Real",1
"2020-04-12","Quatis",0
"2020-04-12","Queimados",1
"2020-04-12","Resende",0
"2020-04-12","Rio Bonito",0
"2020-04-12","Rio das Flores",0
"2020-04-12","Rio das Ostras",1
"2020-04-12","Rio de Janeiro",91
"2020-04-12","Sapucaia",0
"2020-04-12","Saquarema",2
"2020-04-12","Seropédica",0
"2020-04-12","Sumidouro",0
"2020-04-12","São Fidélis",2
"2020-04-12","São Francisco de Itabapoana",0
"2020-04-12","São Gonçalo",12
"2020-04-12","São João da Barra",0
"2020-04-12","São João de Meriti",6
"2020-04-12","São Pedro da Aldeia",0
"2020-04-12","Tanguá",1
"2020-04-12","Teresópolis",0
"2020-04-12","Trajano de Moraes",0
"2020-04-12","Três Rios",0
"2020-04-12","Valença",0
"2020-04-12","Volta Redonda",36
"2020-04-13","Angra dos Reis",3
"2020-04-13","Araruama",0
"2020-04-13","Arraial do Cabo",0
"2020-04-13","Barra Mansa",1
"2020-04-13","Barra do Piraí",0
"2020-04-13","Belford Roxo",1
"2020-04-13","Bom Jardim",0
"2020-04-13","Bom Jesus do Itabapoana",0
"2020-04-13","Cabo Frio",0
"2020-04-13","Cachoeiras de Macacu",0
"2020-04-13","Campos dos Goytacazes",1
"2020-04-13","Cantagalo",0
"2020-04-13","Casimiro de Abreu",0
"2020-04-13","Duque de Caxias",2
"2020-04-13","Guapimirim",0
"2020-04-13","Iguaba Grande",0
"2020-04-13","Itaboraí",0
"2020-04-13","Itaguaí",0
"2020-04-13","Itaperuna",0
"2020-04-13","Itatiaia",0
"2020-04-13","Japeri",0
"2020-04-13","Macaé",0
"2020-04-13","Magé",0
"2020-04-13","Mangaratiba",0
"2020-04-13","Maricá",4
"2020-04-13","Mesquita",0
"2020-04-13","Miguel Pereira",0
"2020-04-13","Nilópolis",0
"2020-04-13","Niterói",4
"2020-04-13","Nova Friburgo",1
"2020-04-13","Nova Iguaçu",8
"2020-04-13","Paracambi",0
"2020-04-13","Paraty",0
"2020-04-13","Paraíba do Sul",0
"2020-04-13","Paty do Alferes",0
"2020-04-13","Petrópolis",0
"2020-04-13","Piraí",0
"2020-04-13","Porciúncula",0
"2020-04-13","Porto Real",0
"2020-04-13","Quatis",0
"2020-04-13","Queimados",0
"2020-04-13","Resende",0
"2020-04-13","Rio Bonito",0
"2020-04-13","Rio das Flores",0
