"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Angra dos Reis",3300100,"2020-04-02",14,207044,203785,1,0.48299,"2020-04-02",0,0,0,0
"Arraial do Cabo",3300258,"2020-04-02",14,30593,30349,1,3.26872,"2020-04-02",1,1,0,0
"Barra Mansa",3300407,"2020-04-02",14,184833,184412,2,1.08206,"2020-04-02",0,0,0,0
"Belford Roxo",3300456,"2020-04-02",14,513118,510906,3,0.58466,"2020-04-02",0.3333,1,0,1
"Campos dos Goytacazes",3301009,"2020-04-02",14,511168,507548,1,0.19563,"2020-04-02",0,0,0,0
"Duque de Caxias",3301702,"2020-04-02",14,924624,919596,9,0.97337,"2020-04-02",0,0,3,0
"Guapimirim",3301850,"2020-04-02",14,61388,60517,1,1.62898,"2020-04-02",0,0,0,0
"Itaboraí",3301900,"2020-04-02",14,242543,240592,6,2.47379,"2020-04-02",0,0,2,0
"Itaguaí",3302007,"2020-04-02",14,134819,133019,1,0.74174,"2020-04-02",0,0,1,0
"Macaé",3302403,"2020-04-02",14,261501,256672,1,0.38241,"2020-04-02",0,0,0,0
"Magé",3302502,"2020-04-02",14,246433,245071,3,1.21737,"2020-04-02",0,0,3,0
"Mangaratiba",3302601,"2020-04-02",14,45220,44468,1,2.21141,"2020-04-02",0,0,0,0
"Maricá",3302700,"2020-04-02",14,164504,161207,3,1.82366,"2020-04-02",0,0,1,0
"Mesquita",3302858,"2020-04-02",14,176569,176103,1,0.56635,"2020-04-02",0,0,1,0
"Miguel Pereira",3302908,"2020-04-02",14,25581,25538,1,3.90915,"2020-04-02",1,1,0,0
"Niterói",3303302,"2020-04-02",14,515317,513584,63,12.22548,"2020-04-02",0.0159,1,1,0
"Nova Iguaçu",3303500,"2020-04-02",14,823302,821128,8,0.9717,"2020-04-02",0,0,1,0
"Petrópolis",3303906,"2020-04-02",14,306678,306191,13,4.23897,"2020-04-02",0.0769,1,8,0
"Queimados",3304144,"2020-04-02",14,151335,150319,1,0.66079,"2020-04-02",0,0,0,0
"Resende",3304201,"2020-04-02",14,132312,131341,2,1.51158,"2020-04-02",0,0,0,0
"Rio Bonito",3304300,"2020-04-02",14,60573,60201,2,3.3018,"2020-04-02",0.5,1,0,0
"Rio das Ostras",3304524,"2020-04-02",14,155193,150674,3,1.93308,"2020-04-02",0.3333,1,0,0
"Rio de Janeiro",3304557,"2020-04-02",14,6747815,6718903,798,11.82605,"2020-04-02",0.0388,31,101,11
"Seropédica",3305554,"2020-04-02",14,83092,82312,1,1.20349,"2020-04-02",0,0,0,0
"São Gonçalo",3304904,"2020-04-02",14,1091737,1084839,10,0.91597,"2020-04-02",0.1,1,-1,0
"São João de Meriti",3305109,"2020-04-02",14,472906,472406,3,0.63438,"2020-04-02",0,0,1,0
"São Pedro da Aldeia",3305208,"2020-04-02",14,106049,104476,1,0.94296,"2020-04-02",0,0,0,0
